State,Price(P),Change(P),Price(D),Change(D)
Andaman And Nicobar,84.10 ₹/L,  0.00,79.74 ₹/L,  0.00
Andhra Pradesh,111.79 ₹/L,+ 0.06,99.52 ₹/L,+ 0.04
Arunachal Pradesh,95.47 ₹/L,+ 0.08,84.68 ₹/L,+ 0.02
Assam,97.32 ₹/L,- 0.46,89.36 ₹/L,- 0.45
Bihar,109.23 ₹/L,  0.00,95.88 ₹/L,  0.00
Chandigarh,96.20 ₹/L,  0.00,84.26 ₹/L,  0.00
Chhattisgarh,103.58 ₹/L,+ 0.40,96.55 ₹/L,+ 0.40
Dadra And Nagar Haveli,94.43 ₹/L,  0.00,89.98 ₹/L,  0.00
Daman And Diu,94.24 ₹/L,  0.00,89.79 ₹/L,  0.00
Delhi,96.72 ₹/L,  0.00,89.62 ₹/L,  0.00
Goa,97.84 ₹/L,- 0.24,90.39 ₹/L,- 0.23
Gujarat,96.42 ₹/L,+ 0.02,92.17 ₹/L,+ 0.03
Haryana,97.52 ₹/L,- 0.03,90.36 ₹/L,- 0.03
Himachal Pradesh,95.75 ₹/L,+ 0.68,84.98 ₹/L,+ 0.60
Jammu And Kashmir,101.50 ₹/L,- 0.05,86.54 ₹/L,- 0.05
Jharkhand,100.21 ₹/L,- 0.22,95.00 ₹/L,- 0.22
Karnataka,102.50 ₹/L,  0.00,88.42 ₹/L,  0.00
Kerala,108.20 ₹/L,  0.00,97.09 ₹/L,  0.00
Madhya Pradesh,110.00 ₹/L,+ 0.38,95.17 ₹/L,+ 0.36
Maharashtra,106.64 ₹/L,- 0.04,93.15 ₹/L,- 0.04
Manipur,101.23 ₹/L,+ 0.10,87.17 ₹/L,+ 0.09
Meghalaya,96.27 ₹/L,  0.00,84.78 ₹/L,  0.00
Mizoram,95.73 ₹/L,  0.00,82.18 ₹/L,  0.00
Nagaland,98.28 ₹/L,  0.00,86.65 ₹/L,  0.00
Odisha,104.60 ₹/L,- 0.21,96.14 ₹/L,- 0.18
Puducherry,95.93 ₹/L,+ 0.04,86.16 ₹/L,+ 0.04
Punjab,97.83 ₹/L,  0.00,88.17 ₹/L,  0.00
Rajasthan,108.48 ₹/L,- 0.06,93.72 ₹/L,- 0.06
Sikkim,102.85 ₹/L,  0.00,89.90 ₹/L,  0.00
Tamil Nadu,104.01 ₹/L,+ 0.13,95.63 ₹/L,+ 0.13
Telangana,111.90 ₹/L,+ 0.23,99.90 ₹/L,+ 0.21
Tripura,98.66 ₹/L,  0.00,87.66 ₹/L,  0.00
Uttar Pradesh,96.63 ₹/L,+ 0.33,89.80 ₹/L,+ 0.33
Uttarakhand,95.66 ₹/L,  0.00,90.59 ₹/L,  0.00
West Bengal,107.26 ₹/L,+ 0.44,93.90 ₹/L,+ 0.41
